Country,State/area,Latitude,Longitude,Year,Status,References
Argentina,,-28.8063,-66.9407,2014,Present,Lue et al. 2017
Argentina,,-35.0866,-59.1674,2014,Present,Santadino et al. 2015
Argentina,,-39.2888,-65.6695,2014,Present,Cichón et al. 2015
Austria,,46.5,12.5,2011,Present,Holzer 2011
Austria,,47.3333,13.3333,2011,Present,Lethmayer 2011
Austria,,48.2533,16.2981,2014,Present,Cattel et al. 2016
Bangladesh,,24,90,,Present,CABI 2011
Belgium,,51.2136,2.9012,2012,,Beliën et al. 2012
Belgium,,51.13,2.54,2012,,Mortelmans et al. 2012
Bosnia-Hercegovina,,43.218,17.6816,2013,Few occurences,Ostoji? et al. 2014
Bosnia-Hercegovina,,43.2008,17.7576,2013,Few occurences,Ostoji? et al. 2014
Bosnia-Hercegovina,,43.2143,17.7128,2013,Few occurences,Ostoji? et al. 2014
Bosnia-Hercegovina,,43.2055,17.6197,2013,Few occurences,Ostoji? et al. 2014
Brazil,,-27.7156,-52.1719,2013, Present,Deprá et al. 2014
Brazil,,-28.6356,-49.4942,2013, Present,Deprá et al. 2014
Brazil,,-22,-49,2013, Present,Vilela & Mori 2014
Brazil ,,-27.1914,-49.0756,2013, Present,Deprá et al. 2014
Brazil ,,-28.6153,-52.0956,2013, Present,Deprá et al. 2014
Brazil ,,-29.8842,-50.2781,2013, Present,Deprá et al. 2014
Brazil ,,-29.12,-51.34,2013, Present,Andreazza et al. 2016
Brazil ,,-27.11,-49.05,2013, Present,Andreazza et al. 2017
Brazil ,,-15.47,-47.59,2013, Present,Andreazza et al. 2017
Brazil ,,-10,-50,2013, Present,Roque et al. 2015
Brazil ,,-31.46,-52.27,2013, Present,Andreazza et al. 2017
Brazil ,,-31.35,-55,2013, Present,Wollmann et al. 2016
Brazil ,,-31.35,-57,2013, Present,Wollmann et al. 2016
Brazil ,,-31.02,-52.04,2013, Present,Wollmann et al. 2016
Brazil ,,-27.43,-52.1,2013, Present,Andreazza et al. 2017
Brazil ,,-20.51,-42.4,2013, Present,Andreazza et al. 2016
Brazil ,,-29.13,-51.21,2013, Present,Andreazza et al. 2017
Brazil ,,-31.39,-52.38,2013, Present,Andreazza et al. 2017
Brazil ,,-28.38,-49.3,2013, Present,Andreazza et al. 2017
Brazil ,,-29.54,-50.16,2013, Present,Andreazza et al. 2017
Brazil ,,-22.31,-43.11,2013, Present,Andreazza et al. 2017
Brazil ,,-26.13,-51.12,2013, Present,Andreazza et al. 2017
Brazil ,,-31.7684,-52.3475,2013, Present,Wollmann et al. 2016
Brazil ,,-28.18,-49.56,2013, Present,Andreazza et al. 2017
Brazil ,,-28.24,-54.57,2013, Present,Poppe et al. 2016
Brazil ,,-29.2,-49.43,2013, Present,Andreazza et al. 2017
Brazil ,,-26.13,-51.05,2013, Present,Andreazza et al. 2017
Brazil ,,-28.3,-50.57,2013, Present,Andreazza et al. 2017
Brazil ,,-28.37,-52.06,2013, Present,Andreazza et al. 2017
Bulgary,,42.0209,23.0943,2014, Restricted distribution,NPPO Bulgaria 2015
Bulgary,,42.2869,22.6939,2014, Restricted distribution,NPPO Bulgaria 2015
Bulgary,,42.15,24.75,2014, Restricted distribution,NPPO Bulgaria 2015
Canada,British Columbia,53.9998,-125.003,2009, Widespread,Thistlewood et al. 2012
Canada,Ontario,43.5667,-79.95,2010,Present,Jakobs et al. 2015
Canada,Ontario,49.2501,-84.4998,2010,Present,Fisher 2012
Canada,Quebec,46.1,-72.85,2012, Widespread,Saguez et al. 2013
Canada,Quebec,45.2167,-73.4333,2012, Widespread,Saguez et al. 2013
Canada,Quebec,52.0002,-71.9991,2012,Present,Saguez et al. 2013
Chile,,-33.05,-70.4,,,Medina-Muñoz et al. 2015
China,,47.8333,127.6667,, Widespread,Kai et al. 1993
China,,43.6666,126.1667,, Widespread,Kai et al. 1993
China,,41.3,122.6,, Widespread,Kai et al. 1993
China,,39.9075,116.3972,, Widespread,Kai et al. 1993
China,,21.6662,110.4622,, Widespread,Kai et al. 1993
China,,37.1306,122.4343,, Widespread,Kai et al. 1993
China,,33.4742,118.4192,, Widespread,Kai et al. 1993
China,,31.8333,117,, Widespread,Kai et al. 1993
China,,31.2222,121.4581,, Widespread,Kai et al. 1993
China,,28.6667,121.35,, Widespread,Kai et al. 1993
China,,27.6333,115.7666,, Widespread,Kai et al. 1993
China,,27.5,111.5,, Widespread,Kai et al. 1993
China,,25.0205,117.6848,, Widespread,Kai et al. 1993
China,,24.1675,115.6668,, Widespread,Kai et al. 1993
China,,19.25,109.75,, Widespread,Kai et al. 1993
China,,23.55,110.3833,, Widespread,Kai et al. 1993
China,,31.4568,102.843,, Widespread,Kai et al. 1993
China,,23.1291,113.2644,, Widespread,Kai et al. 1993
China,,24.5,101.5,, Widespread,Kai et al. 1993
China,,40.25,116.5,, Widespread,Toda 1991; Kai et al. 1993
China,,35,105,, Widespread,Peng 1937
China,,26.545,117.843,, Widespread,Toda 1991; Kai et al. 1993
China,,23,113,, Widespread,Toda 1991; Kai et al. 1993
China,,24,109,, Widespread,Toda 1991; Kai et al. 1993
China,,27,107,, Widespread,Toda 1991; Kai et al. 1993
China,,19.2,109.6,, Widespread,Toda 1991; Kai et al. 1993
China,,48,128,, Widespread,Toda 1991; Kai et al. 1993
China,,34,114,, Widespread,Toda 1991; Kai et al. 1993
China,,31,112,, Widespread,Toda 1991; Kai et al. 1993
